name,address,latitude,longitude
Di Angello,ул. Марко Бочар 43,42.68838877,23.37001247
Бар Шоколад,бул. Стефан Стамболов 52,42.5007716,27.4706778
Bodega (Цар Асен),yл. Цар Асен I-ви 6,42.69447769,23.3193478
Гръцки ресторант Sirtaki,ул. Околовръстен път 72,42.63873604,23.3186844
Ginger Bar & Dinner,ул. Битоля №2,42.6776196,23.2961918
Studio G,"к.к. Слънчев бряг, бистро Кондор",42.6924309,27.709081
La Bottega Prima,ул. Милин Камък 6,42.68317795,23.32738876
,,,
Time for Food,бул. Арсеналски 2,42.67883301,23.32068062
Sushi King,"ж.к. ""Младост"" 4, бл. 458, вх. В",42.63500595,23.37453842
Ресторант 19 ВЕК,ул. Цар Калоян 1,42.14981808,24.74164064
Violet Caffe Bar,кв. Мара Денчева бл.20,43.40028518,24.62282876
Китайски ресторант Житомир,пл. Жеравица 1,43.40875078,23.22766334
Софистар,бул. Владимир Вазов 89А,42.70894684,23.39729889
Burger Point (Цар Освободител),ул. Цар Освободител 2,42.48464457,26.5044336
Umami,бул. Джеймс Баучър 100,42.67227554,23.31885147
Пицария Джиков (2),бул. Вардар бл. 65,42.70100587,23.28568527
Сезам Пица,ул. Стефан Стамболов 88,42.50320568,27.46992099
Ресторантъ Табиетъ,ул. Майор Таньо Кавалджиев 147,42.42733052,25.61859282
Sushi Mochi,"ул. ""Св. Св. Кирил и Методий"" 62",42.7027092,23.3259182
2day Burgers & Wraps,бул. Черни връх 47,42.6620798,23.3179159
Мис Каприз (Стамболийски),бул. Александър Стамболийски 72,42.69855118,23.31087875
The Garden - Obsession Club Bar and diner,ул. Царибродска 70,42.70344871,23.29995692
Дюнер (Ситняково),"ул. Сирак Скитник, Пазар Ситняково",42.6846894,23.3533078
Gyros (Бургас),площад Тройката,42.497504,27.470232
Палачинки Pantastic (Арсеналски - ISGBG),бул. Арсеналски 2 ет. 2,42.6788559,23.32068062
Ресторант Адонис,ул. Антим I 32,42.494133,27.47558212
,,,
Twister Pizza Cones,ул. Тодор Стоянович 26,42.42405154,25.61495532
My Doner,"yл. Княз Борис I, 75",43.20810641,27.92267293
Pizza Ancona (Овча Купел),"ул. ""Президент Линкълн"" 29",42.68403625,23.26864624
Aladin foods (Захарна фабрика),бул. Сливница 58,42.71054613,23.29190034
Pizzerito,"ул. ""Васил Калчев"" № 10",42.66342926,23.34716034
Flora Bar & Grill,ж.к. Лазур бл.166,42.50373534,27.48017956
EDO Sushi & Teppanyaki,ул. Околовръстен път 214,42.62361462,23.35303068
Крафт Бирария Пивоварната,ул. Хан Крум 6,42.49182775,27.4724147
Burger King (Сердика),ул. Ситняково 48,42.6915091,23.35401455
Китайски ресторант Бамбук,ул. Велико Търново 5,43.84917137,25.94932348
Вежо Бургер,"Левски В, ул. Станислав Доспевски 95",42.70927016,23.38432766
Café & Bakery Nida,ул. Хаджи Димитър 34,43.2152538,27.9117446
iChef,ул. проф. Архитект Храбър Попов,42.64473555,23.33963494
Pizza Roma,ул.Златни Врата 4,42.67293167,23.30049706
VerMon 88,ул. Матей Преображенски 320А,42.72069742,23.24504373
Fitness Panda,бул. Сливница 9,43.20417616,27.92134548
Urban Table,Парк Заимов,42.69736388,23.34012564
Pizza Don Vito (Павлово),бул. Александър С. Пушкин 34,42.66198217,23.26515437
Amore Пица Ресторант,ул. Недялка Шилева 4,42.12401053,24.78714414
Ресторант Чехов 51,Ул.Чехов 51,42.66943359,23.36066437
,,,
Ресторант На-Ти,Стадион 7,42.12988153,24.76419353
La Rocca,"ж.к. Младост 3, бул. Филип Аврамов, Парк Боби и Кели (бившето Патиланци)",42.64256668,23.37991714
ПОСТА,ул. Екзарх Йосиф 36,42.70023191,23.32685719
Antique,площад Кирил и Методий,42.4964738,27.4741841
Макао (Двете кули),бул. Владислав Варненчик 256,43.22184903,27.87587688
C'est la vie,бул. „Кукленско шосе“ 11,42.1235886,24.75836574
Палачинки Pantastic (Mall Galleria),"ул. Янко Комитов 6, Мол Галерия ет.2",42.51241023,27.45437298
Kring,ул. Борис Христов 20,42.6847007,23.3562082
Рибен Ресторант Делфинчето,"Студентски град, ул. Проф. Кирил Попов 52 срещу бл. 55 вх. А",42.64445114,23.33684158
УГО - Пицарии и ресторанти 2,ул. Неофит Рилски 68,42.6897385,23.3242824
Healthy Bite,ул. Найден Геров,42.68453532,23.30054455
Quick food,ул. Йоаким Груев 5,42.14938601,24.74818014
Pita Gyros,бул. Братя Бъкстон 40,42.66582871,23.27490428
Дракон Експрес (Слънчев бряг),срещу хотел Orange,42.6975603,27.7082681
ЯВ-КА food bar,бул. Цар Симеон I 83,42.4989617,27.4737452
"Life restaurant, pizzeria & wine bar",ул. Трети Март 35,43.40415103,24.63060512
Viento Bar & Dinner,ул. Симеон Велики 105А,42.42417654,25.62502288
Пица Лъчони (Света Троица),ж.к. Света Троица до бл.354,42.71181741,23.29510063
Гръцко Бистро Ностимо,ж.к. Банишора ул. Илийчо П. Илиев 16,42.7065773,23.30558205
Мис Каприз (Стамболийски),бул. Александър Стамболийски 72,42.69855118,23.31087875
The Sushi Bar,ул. Иван Денкоглу 18,42.69401169,23.31878662
Subway (Bulgaria Mall),бул. България 69,42.66439201,23.28834556
Славянска беседа,ул. Славянска 3,42.69352341,23.32906914
The Grill,бул. Никола Петков 52,42.42702475,25.66019671
Lucky Garden Restaurant,ул. Иван Рилски 2,42.6082498,23.0287802
Бургерия,"ж.к. Сухата Река, пазар Герена",42.7028493,23.3601945
Сладоледена къща Afreddo,ул. Гладстон 2,42.14321147,24.74947344
Raffy Bar & Gelato (Бургас),ул. Ген. Майор Лермонтов 7,42.49299017,27.47462636
Brick House,Ул. Христо Дюкмеджиев 20,42.14924354,24.74930188
Макао (Владислав),бул. Владислав Варненчик 158,43.21557376,27.89733656
Royal Thai,ул. Славянска 24,42.69211523,23.33042871
Phoenix,ул. Христо Силянов 35,42.73327245,23.3028566
Savini Gelato (Пловдив),ул. Найден Геров 17,42.1437963,24.74787364
,,,
Candles,ул.Неофит Рилски 11,43.21766946,27.90880591
Ям Ям,ул. Стефан Караджа 18,42.69234085,23.32500839
Хидропарк Казичене,"Казичане, Индустриална зона",42.65759934,23.45408116
Клас Пиле-Pizza,ул.Съборни 52,43.20549393,27.90773582
,,,
Ресторант Пета База,бул. Д-р Петър Дертлиев 129,42.71376638,23.23710613
,,42.49902256,27.47383764
McDonald's™ (Ялта),бул. Цар Освободител 22,42.69288409,23.33436766
Atelier Del Gelato Baci,бул.Витоша 44,42.69098402,23.31932071
